item_id,count
33,12947
753,6561
601,6041
20,5401
448,4167
655,3846
905,3184
596,3056
158,2479
1948,2472
1150,2276
614,2210
595,2192
1622,2134
1357,2119
1247,2092
530,2090
267,1992
2003,1978
1681,1976
16,1956
533,1954
1773,1929
86,1902
1697,1887
1211,1829
1888,1775
337,1724
1149,1703
1754,1669
375,1666
269,1653
1148,1629
921,1578
1943,1558
637,1526
82,1500
370,1463
2205,1451
1694,1407
285,1404
104,1395
1231,1353
624,1342
2739,1340
2402,1301
446,1280
548,1279
1648,1240
1071,1236
117,1167
215,1149
4813,1147
2337,1146
484,1131
41,1086
2505,1081
936,1080
256,1072
3089,1061
123,1060
1550,1034
640,1018
1710,1015
1494,1001
364,1001
1978,944
1751,940
1770,922
917,911
2127,896
460,886
26,885
237,842
1549,832
2684,831
1901,827
1725,811
278,803
1072,790
306,789
1329,785
1823,752
1025,739
2297,738
1355,733
5899,725
7127,719
4557,719
447,707
3574,705
504,702
4803,701
2041,697
633,696
1919,688
841,688
2808,675
2248,673
1110,670
2143,665
4768,664
22,659
2854,657
1304,653
1305,652
2720,650
315,649
1455,648
965,645
2809,642
1724,638
1015,634
1008,632
1527,628
1133,628
2484,625
470,622
2246,621
3276,614
870,611
4799,609
629,596
1520,595
13,593
672,587
3597,584
1541,584
217,583
710,581
1682,579
5286,579
1371,575
1114,574
5,570
496,567
1704,564
839,548
2241,548
2798,548
60,545
2472,543
929,541
433,540
167,539
2379,539
1076,535
2759,529
563,527
1163,527
1757,527
18,525
1762,524
1157,523
4035,521
763,513
2357,513
1889,512
1996,504
673,504
4717,503
188,502
1498,497
5717,496
450,491
1595,491
2652,489
200,483
2211,482
478,482
1345,478
678,473
3209,466
2037,465
313,465
1879,463
3153,461
1275,459
669,459
3752,456
27,455
7516,451
48,449
283,449
159,447
3837,447
2674,442
2861,441
214,440
1819,438
2891,437
3289,436
3264,434
455,434
2226,434
2801,434
1366,434
1700,433
1538,428
2023,428
2265,427
5795,427
1643,423
2398,422
4023,420
289,417
547,417
3335,415
2183,415
1869,415
1795,414
454,413
1245,413
3720,410
791,410
2691,407
1261,407
5909,407
5498,406
9252,405
1038,404
1825,401
2471,401
1469,400
1933,399
5406,397
2625,397
869,396
3436,394
1514,392
5813,391
1453,387
1443,387
449,384
1698,384
2772,382
468,381
1438,380
2071,379
169,378
7,378
6072,378
1164,376
1229,374
2017,374
4686,374
7630,374
147,374
2178,373
2222,373
260,371
5685,370
2469,370
10725,369
5249,369
1655,368
2817,368
4693,368
2019,366
3283,365
3496,365
1733,364
8700,364
1237,364
5512,363
835,357
1796,354
2487,353
2287,353
912,351
5712,351
2490,351
2114,350
2132,347
1539,346
697,345
2064,345
301,344
1544,342
307,342
3342,342
4721,342
1756,341
5751,340
1868,339
7395,338
1778,337
2734,336
9420,336
1557,334
4186,334
543,331
210,331
4736,330
4899,330
1760,330
2043,328
2826,326
2118,325
1748,324
2010,324
5472,323
457,323
684,323
1036,319
2084,318
1545,318
2648,316
3772,315
3746,314
4388,312
2451,312
1771,311
5776,311
2571,311
5111,311
4747,311
2244,310
3813,310
3332,308
2133,307
3942,307
4796,307
11954,307
3543,307
602,306
565,306
2274,305
5255,305
497,304
3175,304
1596,301
2504,301
3346,301
3649,300
1746,300
1789,300
4191,299
3632,299
6064,298
1965,298
6050,297
7128,297
3233,295
2268,295
3388,294
722,293
3645,293
4641,293
2027,292
2723,291
6464,291
1032,291
2555,290
1091,290
862,290
2099,289
2678,288
3425,287
8566,287
204,286
5800,286
7345,286
2818,285
579,284
1826,284
2175,284
1893,283
3580,283
2794,283
1537,282
6033,282
566,282
3473,281
3530,280
1535,280
872,280
999,280
522,279
2389,279
1302,279
7544,279
2299,279
8150,278
8108,278
1103,278
1601,277
523,277
3286,276
755,275
4943,275
2345,274
1692,274
1450,274
2162,273
2179,272
6323,272
5063,271
190,271
1721,271
3971,271
2760,270
795,269
764,269
923,269
2519,269
1646,269
5315,268
3147,268
725,268
218,267
11175,267
6751,266
4518,265
5911,265
1859,265
4516,265
5043,264
1759,264
3363,264
4645,264
5231,263
3129,263
9492,262
5093,262
1870,262
465,261
1776,261
8833,261
5318,261
2065,260
1068,260
7713,258
3328,258
1793,258
3222,257
1717,257
4786,257
2699,256
4632,256
2812,256
10,256
2766,255
913,255
6144,254
3795,253
528,253
7415,252
3043,252
984,252
3049,252
8774,252
5194,251
2687,251
3633,251
768,250
3239,250
6738,249
3160,249
502,249
5792,249
1915,249
1977,248
1087,248
4412,248
2343,247
2899,247
7597,247
7994,247
7974,247
356,247
2980,246
1802,246
4659,246
4327,245
7599,245
2360,245
5220,245
463,244
1807,244
590,244
397,244
743,244
2924,243
4505,243
2123,243
3621,241
1887,241
4949,241
9034,241
2602,241
4400,241
707,240
9704,240
2682,240
1319,239
3529,239
1566,239
7249,239
1547,238
2231,238
5141,238
879,238
2121,238
4342,238
7565,237
3347,236
1845,236
10431,236
3673,235
5180,235
2166,235
2444,235
4392,235
2022,234
636,233
3184,233
5914,233
968,233
8371,232
10139,232
4220,231
10364,231
3754,231
5322,231
7338,231
1766,231
3116,231
7225,231
1713,230
8642,230
6370,230
5224,230
3397,229
6484,229
561,229
8737,229
4442,228
467,228
10964,228
734,228
5465,228
4401,228
2557,228
8297,227
1037,227
7346,227
3420,227
568,227
6233,226
1921,226
2811,226
2805,225
5643,225
3216,225
3145,225
309,224
3421,224
914,224
4814,224
6093,224
2393,224
1837,224
1294,224
715,224
2930,222
5856,222
2448,221
4445,221
2560,221
4398,221
2215,220
2111,220
5181,220
10530,220
11503,220
531,219
4822,219
390,219
5485,219
4959,218
2324,218
2410,218
4928,217
2559,217
2258,217
2341,217
3355,217
4551,216
3290,216
6597,216
3713,215
80,215
6307,215
5030,214
9443,214
3638,214
3343,213
4550,213
7219,213
5563,212
1224,212
6262,211
11627,211
3134,211
642,211
6775,211
2788,210
3162,210
5789,210
4931,210
7221,209
2576,209
2327,209
1016,209
3414,209
6591,209
1914,209
6141,208
459,208
8539,208
4410,208
2987,207
3029,207
1281,207
2233,207
3757,206
2391,206
293,206
3270,205
3294,205
1300,205
723,205
10069,205
615,204
4634,204
2464,204
14040,204
3553,204
668,204
4446,203
1752,203
1185,203
258,203
761,203
2526,202
458,202
5101,202
5893,201
2006,201
345,201
1970,201
1470,201
5072,201
4455,200
1930,200
12115,200
634,200
5821,200
5163,199
4974,199
1898,199
4018,199
2752,199
5196,198
1918,198
274,198
8029,197
1656,197
247,197
7607,197
2242,197
3854,196
785,196
7131,196
282,195
5473,195
679,195
2856,194
3238,194
2018,194
5495,194
2610,194
6135,194
2120,194
713,194
5758,194
9047,193
5162,193
2618,193
2521,193
6936,193
7144,193
3419,192
3718,192
3704,192
1054,191
483,191
4825,191
2300,191
1811,191
3917,191
5205,191
1810,191
10021,191
3456,190
8738,190
2008,190
1554,190
9220,189
4500,189
5299,189
5087,189
7509,189
6153,189
6767,189
6170,189
6261,189
5335,189
9756,189
6941,189
1858,189
8610,189
957,189
5740,188
3624,188
1913,188
2782,188
7930,188
4779,188
5311,187
1922,187
916,187
534,187
9850,187
4902,187
6105,187
745,187
5127,187
4587,186
3714,186
10147,186
127,186
660,186
2188,185
695,185
8685,185
4798,185
6970,185
6743,185
2182,185
11305,185
4733,185
6241,184
1546,184
567,184
410,184
6088,183
784,183
8106,183
7979,183
3241,183
7938,182
2207,182
11876,182
988,182
9890,182
698,182
176,181
3278,181
3641,181
4820,181
97,181
8183,181
106,181
2449,181
439,181
9875,180
11335,180
9963,180
6949,180
8103,180
2622,179
8461,179
1379,179
1284,179
1645,179
3437,179
1497,179
4895,178
3989,178
2309,178
2302,178
1445,178
5069,178
539,178
6579,178
1775,178
1046,177
3595,177
3796,177
2025,177
2151,177
3249,177
3726,177
4567,176
7306,176
3825,176
2165,176
818,176
4950,176
1797,176
3471,176
3507,175
7314,175
1590,175
4389,175
5320,175
920,175
299,175
392,174
4286,174
2172,174
1774,173
4566,173
2807,173
5086,173
3882,173
11973,173
7814,173
150,172
739,172
6343,172
232,172
2454,172
5447,172
796,171
5699,171
7574,171
4019,171
4966,170
717,170
347,170
6008,170
776,170
12812,170
990,170
8868,169
610,169
21,169
5719,169
2629,169
544,169
6191,169
8173,169
4251,169
7589,169
2727,169
2007,169
1570,168
1809,168
7632,168
2153,168
6684,168
6604,168
9952,167
8370,167
5544,167
2445,167
11242,167
857,166
1815,166
6578,166
9706,166
7374,166
3634,166
4772,166
316,166
10598,166
1594,166
2395,166
9031,166
3724,166
7332,165
7356,165
4687,165
2488,165
3941,165
2467,165
7620,165
8042,165
61,164
6776,164
7532,164
2797,164
1400,164
329,164
1874,164
3619,163
394,163
2673,163
5313,163
3179,163
4515,163
2870,163
1899,162
8219,162
3122,162
3217,162
1597,162
9837,162
1743,162
631,162
10067,162
4190,162
9300,162
6290,161
5541,161
1473,161
3316,161
2703,161
2208,161
2477,161
1124,161
665,161
819,160
8019,160
1715,160
8541,160
4102,160
5427,160
6748,160
3681,160
4125,160
3358,160
4285,160
8993,160
6496,159
9499,159
4885,159
4043,159
14726,159
6417,159
11203,159
6116,158
8598,158
4226,158
7417,158
2000,158
2201,158
774,158
4709,158
3386,157
3859,157
9519,157
287,157
5864,157
783,157
7439,157
1983,157
5102,157
8006,157
2475,157
2701,157
5630,157
1856,157
1521,157
10313,156
4689,156
4795,156
815,156
10122,156
1384,156
6254,156
2886,156
4669,155
6719,155
7295,155
4989,155
790,155
512,155
983,155
7555,155
2888,155
3095,155
2330,155
440,155
4182,155
8328,155
4767,155
1781,155
4826,155
7087,155
7917,154
3696,154
2465,154
229,154
578,154
6844,154
7424,154
71,154
4891,154
656,154
4020,154
4558,154
1260,153
121,153
5018,153
3495,153
847,153
2545,153
4519,153
6146,153
5757,153
462,153
5976,153
6020,153
14703,153
2230,153
2700,153
3202,153
6114,153
9938,153
12720,152
2317,152
2252,152
12586,152
8823,152
2606,152
6218,152
2655,152
5039,151
2787,151
2511,151
5412,151
9841,151
17839,151
6304,151
8188,151
18355,151
5827,151
6298,151
10757,151
273,151
2483,150
2499,150
5759,150
8007,150
14330,150
6006,150
2170,150
5174,150
12583,150
8332,150
8005,150
1105,150
772,149
5696,149
5868,149
12116,149
4996,149
238,149
538,149
5683,149
3254,149
1292,149
1925,149
2605,149
5051,149
3240,148
8900,148
5847,148
2639,148
2191,148
8394,148
7803,147
11036,147
5362,147
5475,147
3306,147
5900,147
10467,147
5693,147
2419,147
6838,147
945,146
28,146
4788,146
6638,146
2076,146
9956,146
2731,146
2718,146
4021,146
7210,146
2459,146
4002,146
2486,146
647,146
2512,146
13383,145
252,145
7053,145
6391,145
2352,145
8121,145
802,145
1840,145
6586,145
3054,145
3966,145
368,145
14611,145
5267,145
3672,145
4448,145
1375,145
3027,144
5888,144
2862,144
3423,144
5056,144
1210,144
6696,144
5583,144
7397,144
10272,144
6058,144
3204,144
4573,144
1973,144
4381,143
2675,143
813,143
4773,143
6682,143
7584,143
13039,143
2260,143
1679,143
8049,143
12396,143
924,142
2055,142
5134,142
2323,142
5047,142
3176,142
