item_id,count
27,45152
12,35603
539,23970
522,23002
28,19810
2,16881
434,14688
14,14026
460,13690
11,12820
1346,12685
394,10958
371,10572
365,10020
426,9298
361,9234
333,8589
528,8311
372,8157
635,8150
120,8105
13,8014
924,7367
950,7301
429,7084
1053,7041
419,7036
454,6966
114,6896
10,6862
529,6856
94,6757
673,6722
108,6703
356,6669
106,6603
162,6489
25,6462
957,6319
362,6010
919,6003
1183,5974
109,5869
900,5735
427,5650
1674,5545
93,5507
357,5493
600,5307
649,5286
612,5267
563,5181
657,5149
432,5112
68,5059
817,4907
990,4800
630,4788
96,4772
1235,4732
1003,4559
98,4524
933,4497
449,4442
436,4398
524,4301
860,4252
1696,4250
466,4236
9,4236
636,4192
477,4058
1731,4034
1637,4032
531,4012
405,3805
541,3791
856,3736
135,3686
815,3676
644,3652
639,3617
1373,3617
33,3572
1116,3535
1764,3531
1004,3509
53,3509
523,3505
2260,3505
565,3436
615,3318
19,3282
983,3281
132,3259
239,3188
496,3144
82,3120
391,3083
555,3051
873,3016
1379,3013
1425,2987
640,2957
447,2941
1374,2911
1610,2904
1576,2890
384,2876
1113,2831
107,2825
1775,2775
645,2767
1055,2762
423,2754
481,2742
1981,2732
3861,2728
3615,2724
47,2719
390,2683
494,2683
58,2682
2272,2647
871,2646
870,2640
478,2627
609,2556
1481,2550
892,2543
869,2540
1415,2539
593,2527
2662,2507
46,2493
2756,2482
670,2471
1975,2470
1164,2466
1233,2466
1480,2447
116,2401
1572,2376
578,2373
928,2369
1090,2366
1372,2365
1418,2341
613,2332
2708,2326
2482,2300
1444,2300
1416,2270
525,2233
150,2207
767,2202
2802,2201
4374,2200
1174,2195
1127,2195
217,2195
1051,2170
4101,2153
794,2152
3642,2125
2280,2119
601,2119
49,2096
209,2092
62,2090
521,2075
1029,2062
2372,2047
1669,2023
1454,2023
1172,1974
417,1973
1472,1959
1628,1956
651,1954
3158,1953
508,1946
4031,1938
526,1925
467,1912
420,1903
980,1902
188,1900
904,1888
1485,1883
51,1880
906,1878
1707,1873
1421,1867
1738,1846
3019,1840
1057,1834
1778,1834
1725,1828
1107,1827
1042,1827
931,1813
821,1810
105,1800
313,1795
594,1782
157,1772
981,1770
2295,1770
997,1769
167,1762
1670,1752
2993,1742
1749,1741
87,1739
2663,1724
1094,1723
638,1722
1625,1703
4448,1702
2695,1701
2422,1687
2507,1686
1803,1686
366,1680
664,1663
2161,1649
252,1627
1341,1624
332,1615
2255,1611
1139,1609
2159,1593
538,1586
1763,1584
1109,1574
2503,1573
1106,1572
1477,1568
579,1565
1089,1556
305,1556
338,1550
2219,1543
995,1542
3678,1534
2715,1525
1410,1525
1347,1519
1232,1516
540,1510
48,1508
2610,1506
52,1498
1700,1497
798,1488
2299,1485
874,1482
1724,1481
2415,1478
37,1470
1650,1467
729,1464
1324,1462
1422,1460
850,1458
1982,1457
606,1454
493,1453
439,1443
4314,1442
1573,1440
907,1431
85,1427
2178,1424
2962,1419
1451,1417
2528,1416
2454,1413
564,1409
2532,1401
237,1400
1398,1398
1362,1391
2429,1389
1831,1383
1682,1377
596,1374
1980,1366
1456,1365
396,1358
1234,1358
832,1357
101,1354
2555,1350
2521,1349
4853,1346
2357,1345
2472,1345
160,1342
589,1340
1420,1337
898,1336
4739,1335
530,1324
1969,1324
1739,1319
1983,1318
2635,1316
1074,1315
1622,1315
2690,1311
934,1311
1257,1307
662,1299
809,1299
104,1296
607,1293
4438,1289
509,1285
2404,1283
3338,1281
1073,1279
4144,1279
1918,1279
2602,1275
3536,1275
2001,1272
122,1271
1475,1270
4567,1269
519,1268
3985,1267
625,1267
2824,1265
2760,1261
2150,1261
2525,1259
1681,1258
2239,1257
1660,1257
24,1255
2290,1251
991,1250
2520,1249
2379,1247
2257,1246
905,1242
1242,1241
3328,1238
1701,1231
1643,1226
626,1224
676,1224
2116,1222
3015,1220
4118,1220
891,1220
334,1218
1718,1199
1770,1187
3083,1186
1804,1186
2151,1176
2908,1165
3122,1162
1058,1157
1620,1153
576,1151
936,1151
1489,1147
1519,1146
1616,1145
1575,1145
2197,1144
4299,1142
402,1138
499,1136
1452,1135
411,1134
2288,1134
1458,1133
2504,1133
1100,1130
577,1129
190,1128
2086,1118
92,1118
2668,1114
2149,1108
2630,1108
414,1095
6071,1094
1977,1093
743,1093
462,1092
1236,1089
889,1089
2261,1087
3109,1087
2176,1086
2203,1082
1967,1081
1597,1079
2636,1079
129,1079
1737,1078
1713,1076
3528,1076
3994,1075
1207,1074
1649,1072
2800,1069
1112,1068
2423,1067
1360,1067
42,1067
965,1066
2603,1066
1617,1063
1023,1062
1567,1060
3852,1060
1447,1057
437,1057
5450,1057
1377,1053
708,1052
1780,1051
1166,1048
1072,1043
34,1035
1846,1027
2487,1026
1071,1024
375,1016
3329,1012
55,1012
2361,1011
642,1010
2999,1007
2144,1003
410,1002
1465,1002
3271,1002
50,1002
1067,1001
2179,1001
2801,1000
802,997
2619,996
5170,995
3627,995
5211,994
1785,992
2699,983
3955,983
1464,978
2223,978
4288,977
56,976
1125,973
2192,970
1063,967
3389,963
1561,962
2611,962
611,961
480,960
4289,958
6,958
2581,955
4783,955
291,955
433,955
922,954
3686,954
4119,952
486,949
2982,944
1595,944
2510,943
424,940
2834,940
865,939
2614,937
3562,937
112,935
2027,932
822,931
682,930
1405,928
517,928
3572,927
4028,924
1110,923
2996,922
912,922
3590,921
5008,919
3099,917
3864,916
1781,915
660,915
2786,914
704,913
1385,910
505,909
2874,909
2727,909
207,905
3295,904
1515,904
2145,902
2080,901
3828,898
152,898
2321,897
686,896
1427,894
1829,894
4143,893
1568,893
3259,893
1574,890
3140,888
610,888
4716,887
4129,885
511,885
4081,883
2105,883
5351,882
966,874
2263,874
245,873
2700,872
2519,870
2931,868
1446,867
1677,867
516,867
5729,867
3482,865
3,864
2597,864
520,863
4154,863
2040,859
2595,859
1092,857
3071,857
2558,857
1078,854
5364,851
7488,851
1642,850
399,849
2576,849
2294,848
1807,848
744,847
3539,847
16,845
450,844
2143,842
992,841
95,841
1673,840
54,840
5215,840
83,839
421,839
2556,839
4140,838
978,838
1651,836
1099,835
1687,833
1823,832
2584,830
1096,830
515,826
416,826
3079,823
2264,822
3311,818
2698,815
824,815
1603,815
3046,815
925,813
368,813
916,812
2484,811
2688,810
503,809
945,809
3911,809
1433,807
495,806
4574,804
4335,803
2950,802
18,802
2691,799
374,798
3725,798
2362,798
438,797
320,795
2354,794
1188,792
1348,791
2490,791
2269,790
629,789
780,788
4626,788
700,786
848,784
473,784
3570,782
2256,781
2570,779
393,776
2853,776
181,774
2169,772
584,771
3924,771
2168,771
472,770
5517,769
406,768
5072,768
3488,767
4661,766
2919,765
3131,765
1959,762
3315,760
841,760
1043,759
881,757
5495,756
2045,755
2155,755
1671,755
4029,753
2797,752
6387,752
347,752
6517,748
582,747
4788,747
3185,746
360,745
2156,745
235,745
72,744
877,744
5146,744
1970,743
415,742
2578,742
1466,741
4303,739
1361,738
2121,738
5614,737
1971,737
3819,737
1554,735
3429,735
2088,734
355,734
6609,733
5701,730
2153,728
2842,727
1081,726
5295,726
3646,724
1699,724
5405,721
581,717
6741,716
3751,715
7886,715
1449,714
4092,714
616,714
9551,712
3927,712
4459,711
1033,711
2598,711
4164,710
3746,710
2518,706
4488,706
4416,705
4337,704
2973,704
3830,701
1468,700
558,699
5496,699
1208,698
7125,697
5150,697
5145,696
6147,696
1394,696
5203,696
2803,695
71,693
288,693
2596,690
927,690
1712,689
398,688
1469,687
3443,687
1569,687
2805,687
3765,687
3848,686
705,684
4670,683
249,683
553,682
970,679
3449,678
7117,677
643,677
2775,676
6008,676
3599,676
2071,675
947,674
35,674
9405,674
2758,673
893,669
1194,667
7608,666
479,665
3029,665
2054,665
2799,664
3327,664
1070,664
839,664
777,664
5307,664
2184,663
4214,661
559,661
1435,661
1448,660
826,659
1766,658
36,656
4419,655
488,655
2207,654
583,654
4406,654
6380,653
6022,653
3600,652
7068,652
118,652
1114,652
2888,651
1228,651
2300,651
2445,650
1383,649
2258,649
5022,648
359,648
1062,648
1463,647
2469,647
7,646
2568,646
1085,645
7868,645
1621,644
2638,644
1325,642
2037,642
4410,640
4216,640
144,639
1376,639
280,639
7345,638
2991,638
1510,637
887,632
2992,632
6628,632
3171,632
1216,630
2762,630
561,628
4433,628
5365,627
4607,627
3006,626
1733,626
8441,625
801,622
6189,622
5735,622
2332,622
2709,622
180,622
234,622
4542,621
4577,620
2755,619
3428,619
1648,619
2375,619
5337,618
914,617
688,617
3086,616
4163,615
2810,614
2608,613
2784,612
3721,611
2160,610
514,609
458,608
1366,608
5128,606
2604,606
3323,606
1516,605
44,604
250,604
796,603
3987,602
8986,602
2589,601
3130,601
4106,600
3524,600
2997,599
2309,599
4141,599
1181,599
3643,598
2986,597
935,596
6528,596
536,596
3287,596
2450,596
1604,592
618,591
6363,590
43,590
546,589
1706,589
3960,587
849,586
2412,586
1357,586
4320,584
5766,584
1002,584
710,583
1668,583
8498,583
544,582
7196,581
1885,581
4647,580
8405,580
3041,579
1461,579
5463,578
2119,578
2509,578
986,576
1141,576
4745,575
2334,574
5076,574
4139,573
2014,573
6212,572
619,572
2112,572
200,572
1905,571
469,570
6426,570
6413,569
7121,567
803,567
4413,567
1704,567
825,565
623,564
4258,562
1624,560
1644,559
241,559
1776,559
1399,559
696,557
2025,557
2913,556
2237,556
861,555
1353,555
2585,554
2902,552
909,552
9120,552
15,551
5508,551
5053,550
2502,550
5318,549
9114,549
4660,547
2298,547
575,546
4414,546
1684,544
470,544
3991,543
8495,543
8796,543
1586,542
4573,542
793,542
6588,542
2583,542
4025,541
2066,540
2044,539
1647,539
6792,538
1629,538
2062,537
2956,536
684,536
1419,536
3936,536
272,535
7122,535
2910,534
1412,531
3863,531
556,530
10790,529
4379,529
3291,529
4608,529
732,528
964,528
7114,527
569,526
4727,524
1015,524
4304,524
1735,524
1993,523
3993,523
853,522
2070,521
1641,520
866,520
2927,520
3001,519
2813,519
883,519
7721,518
6130,518
2069,518
2217,518
4310,518
2083,517
4845,517
455,517
4736,517
3474,516
7496,516
979,516
4317,515
3135,514
1600,513
7055,513
2577,512
3210,511
9533,510
1238,510
692,510
2278,509
2289,508
862,508
267,507
4808,507
5071,507
8708,506
6343,506
446,505
1812,505
30,504
2446,504
9517,504
4131,504
7748,504
2183,504
3477,503
1614,503
3308,503
2417,503
124,502
1160,501
2127,501
3189,500
977,498
6518,498
2826,498
2643,497
1826,497
5830,496
2234,496
1609,496
9883,496
3409,496
2527,495
5228,494
2828,494
2645,494
2764,494
2268,493
4665,493
2041,493
3150,492
5018,492
4773,492
2381,491
5787,491
5270,491
445,490
864,490
1439,490
778,490
