item_id,count
58,6102
11,3973
232,1748
941,1680
298,1479
133,1437
185,1347
592,1309
526,1205
591,1202
220,1105
303,1071
84,1057
18,1045
540,1024
604,1023
305,997
312,991
558,923
17,859
437,854
970,852
82,836
1008,821
14,797
493,753
317,751
327,745
1707,736
225,725
178,724
725,719
1733,714
1806,711
234,710
574,709
1386,709
635,699
2426,697
1605,683
198,675
339,673
338,663
595,657
1223,655
568,648
284,646
378,641
1421,638
259,633
1341,633
685,633
748,626
9,625
187,621
273,620
1285,611
909,605
2545,601
297,600
1138,595
718,582
450,580
341,574
299,572
1089,571
1767,570
1141,567
1053,566
176,564
2120,563
240,558
114,558
73,550
318,546
1026,544
590,541
829,537
1411,528
560,525
200,514
498,514
599,505
2694,504
537,493
638,491
293,483
218,482
1416,476
379,475
1235,473
117,468
632,462
316,462
250,450
211,449
1604,448
1395,448
2347,441
1084,440
70,439
1901,438
2102,438
426,437
283,435
1775,424
1571,422
1766,419
1894,418
662,418
310,417
1207,417
145,417
1487,411
325,409
459,407
1206,406
292,404
1268,404
1450,403
1102,402
812,400
336,398
337,398
443,398
171,397
990,395
1060,391
1224,390
633,389
12,384
1818,383
54,380
988,379
617,377
106,375
1884,372
2969,370
548,369
401,369
64,368
289,368
7,367
1052,365
742,364
291,362
475,362
1816,360
2428,358
1452,357
1746,356
894,354
1811,354
805,353
2633,351
2779,347
794,347
175,344
1434,343
147,343
616,342
962,341
241,341
546,336
1136,336
447,335
797,334
56,332
1281,332
173,331
2450,331
2384,328
2028,328
480,327
2409,326
1502,325
342,324
1963,323
4144,323
1040,323
331,323
243,323
550,323
5410,322
2174,322
59,320
772,317
1255,317
217,316
326,315
1590,314
1291,313
2547,312
238,312
382,311
689,307
792,306
2229,306
2107,304
1595,303
328,303
2109,302
155,302
1726,301
91,301
1760,299
1626,299
602,297
597,296
69,296
394,293
2117,293
3268,292
1361,291
1666,290
2578,289
736,289
351,288
3192,288
1782,287
143,286
1415,286
2648,285
1414,282
406,281
214,281
657,281
2554,280
1054,280
2111,279
2004,275
2568,274
544,273
1111,272
835,272
1882,272
1087,271
700,271
1070,268
3238,268
1390,267
738,267
3745,266
612,266
461,265
449,264
3846,263
1006,262
352,262
353,262
2261,261
166,261
63,260
2145,259
1922,259
3,258
2178,258
2016,258
334,258
2136,257
851,257
1597,255
2252,253
2570,253
619,251
2453,251
1076,250
189,250
295,249
678,248
71,247
1126,247
1237,246
5578,245
2752,245
506,243
979,243
4015,243
1677,243
93,242
2131,241
1306,241
422,241
1964,240
3153,240
215,238
300,238
2226,238
2414,238
2627,237
448,237
543,235
231,235
346,235
75,234
1879,234
605,234
2223,232
626,232
2876,232
1570,232
290,231
2441,231
80,230
221,230
2541,230
101,230
1957,230
732,229
403,229
1722,229
3902,229
1034,228
4577,227
1342,227
1083,227
2076,227
1519,227
471,227
242,226
1323,225
1195,224
1279,224
1671,224
42,224
2904,222
1701,222
2887,222
803,221
566,221
758,220
4032,219
411,219
2869,219
1974,219
1758,219
676,217
360,217
235,215
593,215
1016,215
1063,215
348,214
936,211
404,211
2634,210
4475,210
2143,210
